time	V(rect_+)	V(rect_-)
5.175723416816980e-002	2.021197e+001	-2.000549e+001
5.195254666816981e-002	2.016155e+001	-1.994926e+001
5.214785916816981e-002	2.011136e+001	-1.989333e+001
5.234317166816981e-002	2.006140e+001	-1.983771e+001
5.263614041816982e-002	1.998689e+001	-1.975484e+001
5.273379666816982e-002	1.996216e+001	-1.972737e+001
5.283145291816982e-002	1.993749e+001	-1.969997e+001
5.292910916816982e-002	1.991287e+001	-1.967457e+001
5.302676541816982e-002	1.989133e+001	-1.967366e+001
5.312442166816982e-002	1.989738e+001	-1.975989e+001
5.322207791816982e-002	2.000073e+001	-1.999111e+001
5.331973416816983e-002	2.027869e+001	-2.034821e+001
5.341739041816983e-002	2.071244e+001	-2.074995e+001
5.351504666816983e-002	2.115564e+001	-2.111812e+001
5.361270291816983e-002	2.145011e+001	-2.139480e+001
5.371035916816983e-002	2.155929e+001	-2.154369e+001
5.380801541816983e-002	2.156688e+001	-2.158235e+001
5.390567166816983e-002	2.156821e+001	-2.158072e+001
5.400332791816984e-002	2.160170e+001	-2.160053e+001
5.410098416816984e-002	2.166253e+001	-2.165632e+001
5.419864041816984e-002	2.172747e+001	-2.172446e+001
5.429629666816984e-002	2.176783e+001	-2.176830e+001
5.439395291816984e-002	2.177059e+001	-2.177044e+001
5.449160916816984e-002	2.174851e+001	-2.174492e+001
5.458926541816984e-002	2.171982e+001	-2.171218e+001
5.468692166816985e-002	2.169101e+001	-2.167937e+001
5.478457791816985e-002	2.166228e+001	-2.164664e+001
5.507754666816985e-002	2.157648e+001	-2.154899e+001
5.537051541816986e-002	2.149129e+001	-2.145215e+001
5.566348416816986e-002	2.140672e+001	-2.135609e+001
5.595645291816986e-002	2.132275e+001	-2.126083e+001
5.624942166816987e-002	2.123937e+001	-2.116634e+001
5.654239041816987e-002	2.115659e+001	-2.107263e+001
5.683535916816988e-002	2.107440e+001	-2.097969e+001
5.712832791816988e-002	2.099280e+001	-2.088751e+001
5.742129666816988e-002	2.091177e+001	-2.079608e+001
5.771426541816989e-002	2.083132e+001	-2.070540e+001
5.800723416816989e-002	2.075144e+001	-2.061546e+001
5.830020291816990e-002	2.067212e+001	-2.052626e+001
5.859317166816990e-002	2.059337e+001	-2.043778e+001
5.888614041816991e-002	2.051517e+001	-2.035003e+001
5.917910916816991e-002	2.043751e+001	-2.026299e+001
5.947207791816991e-002	2.036040e+001	-2.017667e+001
5.976504666816992e-002	2.028383e+001	-2.009104e+001
6.005801541816992e-002	2.020779e+001	-2.000611e+001
6.035098416816993e-002	2.013228e+001	-1.992188e+001
6.064395291816993e-002	2.005728e+001	-1.983833e+001
6.093692166816993e-002	1.998280e+001	-1.975545e+001
6.113223416816994e-002	1.993342e+001	-1.970057e+001
6.122989041816994e-002	1.990881e+001	-1.967406e+001
6.132754666816994e-002	1.988452e+001	-1.966155e+001
6.142520291816994e-002	1.987592e+001	-1.971204e+001
6.152285916816994e-002	1.994308e+001	-1.989352e+001
6.162051541816994e-002	2.017056e+001	-2.021988e+001
6.171817166816995e-002	2.057219e+001	-2.062498e+001
6.181582791816995e-002	2.103266e+001	-2.101899e+001
6.191348416816995e-002	2.138343e+001	-2.133120e+001
6.201114041816995e-002	2.154506e+001	-2.151596e+001
6.210879666816995e-002	2.157437e+001	-2.157510e+001
6.220645291816995e-002	2.157101e+001	-2.157298e+001
6.230410916816995e-002	2.158840e+001	-2.158575e+001
6.240176541816996e-002	2.163840e+001	-2.163926e+001
6.249942166816996e-002	2.170918e+001	-2.171127e+001
6.259707791816996e-002	2.176708e+001	-2.176550e+001
6.269473416816995e-002	2.178503e+001	-2.177948e+001
6.279239041816995e-002	2.176928e+001	-2.176028e+001
6.289004666816994e-002	2.174159e+001	-2.172883e+001
6.298770291816994e-002	2.171274e+001	-2.169598e+001
6.308535916816993e-002	2.168396e+001	-2.166321e+001
6.328067166816992e-002	2.162659e+001	-2.159793e+001
6.357364041816990e-002	2.154104e+001	-2.150068e+001
6.386660916816989e-002	2.145611e+001	-2.140423e+001
6.415957791816987e-002	2.137179e+001	-2.130857e+001
6.445254666816985e-002	2.128806e+001	-2.121370e+001
6.464785916816984e-002	2.123258e+001	-2.115088e+001
6.484317166816983e-002	2.117736e+001	-2.108840e+001
6.494082791816982e-002	2.114985e+001	-2.105729e+001
6.503848416816982e-002	2.112240e+001	-2.102627e+001
6.513614041816981e-002	2.109502e+001	-2.099533e+001
6.523379666816981e-002	2.106771e+001	-2.096448e+001
6.533145291816980e-002	2.104046e+001	-2.093371e+001
6.542910916816980e-002	2.101327e+001	-2.090302e+001
6.552676541816979e-002	2.098615e+001	-2.087242e+001
6.562442166816979e-002	2.095909e+001	-2.084190e+001
6.572207791816978e-002	2.093210e+001	-2.081147e+001
6.581973416816978e-002	2.090517e+001	-2.078112e+001
6.591739041816977e-002	2.087831e+001	-2.075085e+001
6.601504666816976e-002	2.085151e+001	-2.072066e+001
